screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,,,wild feature yes,wild feature no,,scripted wild 1,scripted wild 2,scripted wild 3,scripted wild 4,scripted wild 5,scripted wild 6,,weights of matrices of weights,,weight matrix 1,weight matrix 1,weight matrix 1,weight matrix 1,weight matrix 1,,weight matrix 2,weight matrix 2,weight matrix 2,weight matrix 2,weight matrix 2,,weight matrix 3,weight matrix 3,weight matrix 3,weight matrix 3,weight matrix 3,,weight matrix 4,weight matrix 4,weight matrix 4,weight matrix 4,weight matrix 4,,weight matrix 5,weight matrix 5,weight matrix 5,weight matrix 5,weight matrix 5,,reel strip weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,game
,,,,F10,,,,,,,,,,,,,,,,,,,,,,,,,,F10,0,0,5,20,40,,F10,1,5,0,0,,15,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,F9,F9,M2,,,,,,,,,F7,F9,F9,F9,M2,1,0,0,0,1,,,,F7,F9,F9,F9,M2,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN1,0,0,6,0,,16,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F7,F10,M3,F10,,,,,,,,,F10,F7,F10,M3,F10,1,0,0,0,1,,,,F10,RP2,F10,M3,F10,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN2,0,0,4,0,,17,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F8,M1,M2,RP2,,,,,,,,,F7,F8,M1,M2,RP2,1,0,0,0,1,,,,F7,F8,M1,M2,RP2,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN3,0,0,3,0,,18,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M4,F7,F7,RP2,,,,,,,,,M4,M4,F7,F7,RP2,1,0,0,0,1,,,,M4,RP2,F7,F7,F8,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD1,0,0,0,1,,19,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,F7,F7,M1,RP2,,,,,,,,,M5,F7,F7,M1,RP2,1,0,0,0,1,,,,M1,F7,F7,M1,F9,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD2,0,0,0,1,,20,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M5,M2,F10,RP2,,,,,,,,,M5,M5,M2,F10,RP2,1,0,0,0,1,,,,M5,M5,M2,F10,RP2,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD3,0,0,0,1,,21,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M3,M5,F8,RP2,,,,,,,,,F9,M3,M5,F8,RP2,1,0,0,0,1,,,,F9,M3,M5,F8,F6,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,F6,F8,F7,F8,,,,,,,,,BN,F6,F8,F7,F8,1,0,0,0,1,,,,M3,F6,F8,F7,F6,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F6,BN,M4,F9,,,,,,,,,F6,F6,BN,M4,F9,1,0,0,0,1,,,,F6,F6,M2,M4,M3,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M4,F9,F8,RP3,,,,,,,,,F6,M4,F9,F8,RP3,1,0,0,0,1,,,,F6,M4,F9,F8,M5,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F8,F9,F8,F6,,,,,,,,,M1,F8,F9,F8,F6,1,0,0,0,1,,,,M1,F8,F9,F8,M3,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,F9,M3,M2,F6,,,,,,,,,M5,F9,M3,M2,F6,1,0,0,0,1,,,,F9,F9,M4,M2,RP2,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F8,F6,F6,M3,,,,,,,,,M4,F8,F6,F6,M3,1,0,0,0,1,,,,F8,F8,RP2,F6,F7,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M1,F6,F6,M5,,,,,,,,,F7,M1,F6,F6,M5,1,0,0,0,1,,,,F7,M1,F6,F6,M4,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,F7,WD,F9,M3,,,,,,,,,M5,F7,WD,F9,M3,1,0,1,0,1,,,,M2,F7,RP2,F9,F9,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M4,F8,M4,WD,,,,,,,,,F9,M4,F8,M4,WD,1,0,1,0,1,,,,M5,M4,F8,M4,M1,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,F7,F8,F9,F7,,,,,,,,,BN,F7,F8,F9,F7,1,0,1,0,1,,,,F7,F7,F8,F9,M5,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F8,M3,F7,M4,,,,,,,,,F10,F8,M3,F7,M4,1,0,1,0,1,,,,M3,F8,M3,F7,RP2,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,WD,F10,RP1,F8,,,,,,,,,M3,WD,F10,RP1,F8,1,1,0,0,1,,,,F10,F6,F10,F8,RP2,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F6,F10,RP1,M1,,,,,,,,,F9,F6,F10,RP1,M1,1,1,0,0,1,,,,RP2,RP2,F10,F9,M2,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M3,M2,RP1,M5,,,,,,,,,F10,M3,M2,RP1,M5,1,1,0,0,1,,,,F9,M3,F7,F7,F8,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F6,M5,RP1,F9,,,,,,,,,F10,F6,M5,RP1,F9,1,1,0,0,1,,,,F10,F6,M5,M5,M1,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M5,F9,RP1,M1,,,,,,,,,RP1,M5,F9,RP1,M1,1,0,0,0,1,,,,RP2,RP2,RP2,RP2,RP2,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP2,BN,RP1,RP1,,,,,,,,,RP1,RP2,BN,RP1,RP1,1,0,0,0,1,,,,RP2,RP2,RP2,RP2,RP2,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP2,F9,RP1,RP1,,,,,,,,,RP1,RP2,F9,RP1,RP1,1,0,0,0,1,,,,RP2,RP2,RP2,RP2,RP2,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP2,M4,F7,RP1,,,,,,,,,RP1,RP2,M4,F7,RP1,1,0,0,0,1,,,,RP2,RP2,RP2,RP2,RP2,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP2,F7,M5,RP1,,,,,,,,,RP1,RP2,F7,M5,RP1,1,0,0,0,1,,,,RP2,RP2,RP2,RP2,RP2,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP2,M5,F6,RP1,,,,,,,,,RP1,RP2,M5,F6,RP1,1,0,0,0,1,,,,RP2,RP2,RP2,RP2,RP2,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F10,M1,M1,F7,,,,,,,,,RP1,F10,M1,M1,F7,1,0,0,0,1,,,,RP2,RP2,RP2,RP2,RP2,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M1,F7,F8,F8,,,,,,,,,F7,M1,F7,F8,F8,1,0,0,0,1,,,,RP2,RP2,RP2,RP2,RP2,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,M4,F10,RP4,,,,,,,,,F7,F9,M4,F10,RP4,1,0,0,0,1,,,,F8,F8,F8,F8,F8,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,F9,F7,RP4,,,,,,,,,F8,F8,F9,F7,RP4,1,0,0,0,1,,,,F7,F7,F7,F7,F7,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F10,F9,M2,RP4,,,,,,,,,F10,F10,F9,M2,RP4,1,0,0,0,1,,,,F6,F6,F6,F6,F6,9,9,9,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F9,M5,F9,F8,,,,,,,,,F10,F9,M5,F9,,1,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,F6,M1,M5,M2,,,,,,,,,WD,F6,M1,M5,,1,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M2,F6,WD,M3,,,,,,,,,M2,M2,F6,WD,,1,0,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F8,F7,M3,,,,,,,,,,F9,F8,F7,M3,,1,0,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F9,BN,F9,,,,,,,,,,M4,F9,BN,F9,,1,0,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F7,F6,F7,,,,,,,,,,F8,F7,F6,F7,,1,0,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F10,F8,M1,,,,,,,,,,F8,F10,F8,M1,,1,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,F7,F6,F6,,,,,,,,,,BN,F7,F6,F6,,1,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,RP1,F10,F10,,,,,,,,,,F8,RP1,F10,F10,,1,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,RP1,F7,F7,,,,,,,,,,M3,RP1,F7,F7,,1,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP1,RP2,F8,,,,,,,,,,F6,RP1,RP2,F8,,1,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,RP1,RP2,F8,,,,,,,,,,F10,RP1,RP2,F8,,1,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP1,RP2,M3,,,,,,,,,,F6,RP1,RP2,M3,,1,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,RP1,RP2,F6,,,,,,,,,,M4,RP1,RP2,F6,,1,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,,RP2,F10,,,,,,,,,,M5,,RP2,F10,,1,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,RP2,F10,,,,,,,,,,M3,,RP2,F10,,1,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,M2,M4,,,,,,,,,,F9,,M2,M4,,1,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,,M5,F9,,,,,,,,,,BN,,M5,F9,,1,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,F8,F7,,,,,,,,,,F6,,F8,F7,,1,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,M4,M5,,,,,,,,,,F6,,M4,M5,,1,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,F9,F8,,,,,,,,,,M1,,F9,F8,,1,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,,M3,F9,,,,,,,,,,BN,,M3,F9,,1,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,F6,F7,,,,,,,,,,F6,,F6,F7,,1,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,F10,RP2,,,,,,,,,,M3,,F10,RP2,,1,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,F10,RP2,,,,,,,,,,F9,,F10,RP2,,1,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,F8,RP2,,,,,,,,,,F7,,F8,RP2,,1,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,M3,RP2,,,,,,,,,,RP2,,M3,RP2,,1,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,F8,RP2,,,,,,,,,,RP2,,F8,RP2,,1,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,F7,RP2,,,,,,,,,,RP2,,F7,,,1,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,F10,RP2,,,,,,,,,,RP2,,F10,,,1,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,F7,RP2,,,,,,,,,,RP2,,F7,,,1,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,M4,RP2,,,,,,,,,,RP2,,M4,,,1,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,RP2,,,,,,,,,,,,F8,,,,,0,,,,,,,,,,,,,,,,,
